name,first_name,last_name,price,above_100
William Dixon,William,Dixon,109.0372796,true
Kristen Horn,Kristen,Horn,262.5246522,true
Kimberly Chang,Kimberly,Chang,187.0072583,true
Mary Ball,Mary,Ball,283.1746476,true
Benjamin Craig,Benjamin,Craig,143.8715817,true
Cathy Werner,Cathy,Werner,61.50899135,false
Brandon Bell,Brandon,Bell,48.6373091,false
Paul Farley,Paul,Farley,12.38946479,false
Sarah Mcdaniel,Sarah,Mcdaniel,151.5954472,true
Caroline Anderson,Caroline,Anderson,75.62152103,false
Carl Jones,Carl,Jones,147.0294047,true
Scott Lee,Scott,Lee,244.1856527,true
Kaylee Coleman,Kaylee,Coleman,17.86427032,false
Charles Parker,Charles,Parker,215.537283,true
Susan Hess,Susan,Hess,38.35997063,false
Kiara Collier,Kiara,Collier,204.1825486,true
Mr. Scott Martinez,Scott,Martinez,165.8514289,true
Christopher Ortega,Christopher,Ortega,30.30144506,false
Michael Russell,Michael,Russell,243.1724911,true
Dwayne Johnson,Dwayne,Johnson,287.4932856,true
Patty Smith,Patty,Smith,180.2344257,true
Deanna Sherman,Deanna,Sherman,99.79911842,false
Douglas Francis,Douglas,Francis,161.7688908,true
Vicki Diaz,Vicki,Diaz,18.64987672,false
Robin Phillips,Robin,Phillips,244.9119836,true
Travis Rice,Travis,Rice,141.4988254,true
Ashley Rocha,Ashley,Rocha,50.00303731,false
Sarah Jacobson,Sarah,Jacobson,80.48182457,false
Kayla Shannon,Kayla,Shannon,98.91531394,false
Sean Wang DDS,Sean,Wang,220.6282177,true
Richard Estrada,Richard,Estrada,49.16869151,false
Joseph Torres,Joseph,Torres,150.1237842,true
Kim Jones,Kim,Jones,18.8434377,false
Melissa Tanner,Melissa,Tanner,269.1840299,true
Jackson Cline,Jackson,Cline,64.31251721,false
Sonya Foster,Sonya,Foster,296.2155012,true
Allen Williams,Allen,Williams,15.3908317,false
Mr. Thomas Rivera,Thomas,Rivera,95.22843716,false
Jamie Silva,Jamie,Silva,296.8244075,true
Kathleen Moore,Kathleen,Moore,92.50052419,false
Evelyn Pineda,Evelyn,Pineda,169.2289293,true
Kyle Peters,Kyle,Peters,106.7990952,true
Anthony Cruz,Anthony,Cruz,49.10199817,false
Eric Flores,Eric,Flores,122.9556986,true
Anna Richardson,Anna,Richardson,254.4952606,true
Gary Harper,Gary,Harper,47.59652592,false
Linda Johnson,Linda,Johnson,115.3627815,true
Melissa Smith,Melissa,Smith,87.97994846,false
Kristen Floyd,Kristen,Floyd,135.0230413,true
William Diaz,William,Diaz,192.1491355,true
Benjamin Smith,Benjamin,Smith,134.9052939,true
David Glenn,David,Glenn,216.2910463,true
Dawn Jones,Dawn,Jones,271.6144999,true
Joel Smith,Joel,Smith,14.4949198,false
Mr. Larry Grimes MD,Larry,Grimes,268.6758682,true
Joseph Arnold,Joseph,Arnold,121.7750468,true
Kyle Long,Kyle,Long,241.6216391,true
Brittany Day,Brittany,Day,261.5460574,true
Bobby Ward,Bobby,Ward,63.5130358,false
Thomas Lee,Thomas,Lee,254.0755771,true
Jennifer Hansen,Jennifer,Hansen,101.4887352,true
Lisa Murray,Lisa,Murray,176.0919174,true
Meghan Wade,Meghan,Wade,273.2303409,true
Tammie Brooks,Tammie,Brooks,84.88856949,false
Maria Bell,Maria,Bell,264.0746652,true
Allison Livingston,Allison,Livingston,130.3484426,true
Chris Hays,Chris,Hays,17.34276379,false
Courtney Mitchell,Courtney,Mitchell,78.93257699,false
Shawn White,Shawn,White,188.0219256,true
Taylor Gomez,Taylor,Gomez,225.0198237,true
Jeremy Rodriguez,Jeremy,Rodriguez,200.7248208,true
April Garcia,April,Garcia,66.24555967,false
Zachary Watts,Zachary,Watts,15.49738786,false
Sarah Montoya,Sarah,Montoya,206.8212547,true
Jennifer Barker,Jennifer,Barker,89.18615989,false
Sharon Garza,Sharon,Garza,72.35772704,false
Tiffany Stevens,Tiffany,Stevens,196.379322,true
Ruben Armstrong,Ruben,Armstrong,93.69836738,false
Dr. Jeffrey Spencer,Jeffrey,Spencer,271.162282,true
Nicole Ramsey,Nicole,Ramsey,247.8596071,true
Anne Roy,Anne,Roy,277.9324821,true
Lori Sanchez,Lori,Sanchez,285.6616405,true
Allison Chavez,Allison,Chavez,126.850211,true
Marcus Adams,Marcus,Adams,36.47040894,false
Mary Smith,Mary,Smith,16.31507197,false
Joseph Reed,Joseph,Reed,178.4576742,true
Jason Armstrong,Jason,Armstrong,26.04525746,false
Jeff Armstrong,Jeff,Armstrong,88.47561284,false
Sean Shields,Sean,Shields,247.8395255,true
Jessica Allison,Jessica,Allison,104.742308,true
Christian Grant,Christian,Grant,99.11707917,false
Edward Watson,Edward,Watson,180.3535589,true
Derrick Cooke,Derrick,Cooke,142.090116,true
Arthur Hall MD,Arthur,Hall,235.9669749,true
Sean Patrick,Sean,Patrick,139.4507994,true
Heather Collins,Heather,Collins,127.3925734,true
Megan Gomez,Megan,Gomez,107.8624451,true
William Hale,William,Hale,114.6709254,true
Olivia Thompson,Olivia,Thompson,8.608441014,false
Lori Torres,Lori,Torres,18.85827433,false
Vickie Hernandez,Vickie,Hernandez,214.9321807,true
Kimberly Brown,Kimberly,Brown,40.3199327,false
Sherry Meza,Sherry,Meza,182.8545499,true
Phillip Hansen,Phillip,Hansen,44.11611704,false
Jeanette Knight,Jeanette,Knight,28.68694329,false
Kayla Hanson,Kayla,Hanson,27.63036397,false
James Johnston,James,Johnston,284.4290554,true
Dr. John Porter,John,Porter,53.72799274,false
Elizabeth Reyes,Elizabeth,Reyes,93.68075684,false
Kristen Henry,Kristen,Henry,77.00624357,false
Claudia Anderson,Claudia,Anderson,160.3401593,true
Nicholas Webb,Nicholas,Webb,18.71038619,false
Allison Cooper,Allison,Cooper,206.0421068,true
Zachary Barnes,Zachary,Barnes,280.7741315,true
Gregory Hill III,Gregory,Hill,265.9765808,true
Terry Ayers,Terry,Ayers,16.51163899,false
Jessica Wilson,Jessica,Wilson,290.4095461,true
Daniel Frazier,Daniel,Frazier,190.3291917,true
Brian Welch,Brian,Welch,218.2505083,true
Carol Chavez,Carol,Chavez,123.1834427,true
Ethan Mcdonald,Ethan,Mcdonald,214.3503174,true
Gerald Martinez,Gerald,Martinez,57.54786356,false
Eric King,Eric,King,59.87926423,false
Sylvia Walters,Sylvia,Walters,110.9463132,true
Jonathan Lane,Jonathan,Lane,64.46710142,false
Matthew Turner,Matthew,Turner,180.2628702,true
Jeffrey Bauer,Jeffrey,Bauer,30.51584181,false
Jessica Shaffer,Jessica,Shaffer,54.90193651,false
Chris Spencer,Chris,Spencer,251.3752831,true
Mary Clarke,Mary,Clarke,236.0529879,true
Timothy Mendoza,Timothy,Mendoza,105.9834816,true
Alicia Hoffman,Alicia,Hoffman,182.343699,true
Joseph Gardner,Joseph,Gardner,144.8091344,true
Rachael Rangel,Rachael,Rangel,297.9496406,true
Jeffrey Harrington,Jeffrey,Harrington,194.2716338,true
Sophia Randolph,Sophia,Randolph,158.543126,true
Debbie Freeman,Debbie,Freeman,275.8719167,true
Matthew Braun,Matthew,Braun,201.7749657,true
Sheri Hudson,Sheri,Hudson,268.3748402,true
Mary King,Mary,King,204.0785754,true
Beth Davis,Beth,Davis,155.0680648,true
Margaret Castillo,Margaret,Castillo,193.9063244,true
Tommy Sandoval,Tommy,Sandoval,172.283041,true
